202403190010,{3913: 1};202403190000,{3140: 1.0};202403190010,{6781: 1.0};202403190030,{573: 1.0}
202403181150,{3913: 1};202403191310,{3140: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191410,{3924: 1.0};202403191410,{3156: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191430,{3926: 1.0};202403191410,{3156: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191500,{3928: 1.0};202403191410,{3156: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191520,{3928: 1.0};202403191410,{3156: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191530,{3928: 1.0};202403191410,{3156: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191540,{3928: 1.0};202403191410,{3156: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191550,{3928: 1.0};202403191550,{3165: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191550,{3928: 1.0};202403191600,{3165: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191630,{3928: 1.0};202403191600,{3165: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191640,{3928: 1.0};202403191640,{3172: 0.6796, 3173: 0.3204};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191700,{3928: 1.0};202403191700,{3173: 0.1479, 3177: 0.8521};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191710,{3928: 1.0};202403191710,{3178: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191710,{3928: 1.0};202403191720,{3181: 0.9534, 3183: 0.0466};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191710,{3928: 1.0};202403191730,{3182: 0.3695, 3183: 0.6305};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191710,{3928: 1.0};202403191740,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191710,{3928: 1.0};202403191820,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191830,{3928: 1.0};202403191830,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191930,{3928: 1.0};202403191930,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403191950,{3932: 1.0};202403191940,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192010,{3935: 1.0};202403191940,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192010,{3935: 1.0};202403192040,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192050,{3935: 1.0};202403192050,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192050,{3935: 1.0};202403192110,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192050,{3935: 1.0};202403192200,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192210,{3935: 1.0};202403192200,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192220,{3935: 1.0};202403192200,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192220,{3935: 1.0};202403192250,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192220,{3935: 1.0};202403192300,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192310,{3935: 1.0};202403192300,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192310,{3935: 1.0};202403192320,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192330,{3935: 1.0};202403192320,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
202403192330,{3935: 1.0};202403192350,{3184: 1.0};202403191330,{6784: 1.0};202403191340,{573: 1.0}
